Date,Price,Open,High,Low,Vol.,Change %
2009-01-29,1166.56,1165.82,1179.15,1160.75,384.74M,0.74%
2009-01-28,1157.98,1123.23,1160.19,1122.33,345.27M,5.91%
2009-01-23,1093.4,1105.43,1105.43,1087.66,268.19M,-2.05%
2009-01-22,1116.23,1125.22,1127.35,1106.74,346.83M,1.14%
2009-01-21,1103.61,1087.43,1118.4,1085.72,334.56M,-2.06%
2009-01-20,1126.81,1136.16,1136.48,1115.07,319.53M,-2.07%
2009-01-19,1150.65,1146.09,1159.88,1141.31,370.32M,1.36%
2009-01-16,1135.2,1120.69,1135.79,1109.69,335.69M,2.15%
2009-01-15,1111.34,1138.47,1145.41,1108.15,366.48M,-6.03%
2009-01-14,1182.68,1161.01,1184.52,1151.8,358.88M,1.28%
2009-01-13,1167.71,1147.99,1168.04,1133.94,381.51M,0.95%
2009-01-12,1156.75,1170.69,1177.19,1150.41,352.67M,-2.05%
2009-01-09,1180.96,1214.5,1220.59,1179.06,443.54M,-2.05%
2009-01-08,1205.7,1212.7,1218.43,1195.15,472.34M,-1.83%
2009-01-07,1228.17,1198.85,1228.56,1195.2,568.56M,2.84%
2009-01-06,1194.28,1183.52,1203.59,1179.94,444.20M,1.76%
2009-01-05,1173.57,1180.98,1185.22,1166.66,414.76M,1.40%
2009-01-02,1157.4,1132.87,1157.4,1118.84,340.78M,2.93%
2008-12-30,1124.47,1124.6,1144.24,1121.32,357.93M,0.62%
2008-12-29,1117.59,1109.4,1118.35,1084.26,312.52M,-0.02%
2008-12-26,1117.86,1128.54,1134.57,1108.86,345.55M,-0.94%
2008-12-24,1128.51,1140.08,1143.68,1113.17,407.84M,-1.38%
2008-12-23,1144.31,1168.15,1175.32,1140.13,436.41M,-2.99%
2008-12-22,1179.61,1189.85,1201.14,1167.63,450.64M,-0.12%
2008-12-19,1180.97,1174.24,1194.52,1171.38,685.03M,0.43%
2008-12-18,1175.91,1183.38,1189.83,1164.6,557.76M,0.53%
2008-12-17,1169.75,1190.09,1196.37,1146.04,647.79M,0.71%
2008-12-16,1161.56,1148.68,1165.29,1137.05,626.70M,0.29%
2008-12-15,1158.19,1152.25,1164.72,1138.42,485.36M,4.93%
2008-12-12,1103.82,1128.66,1152.99,1089.94,622.30M,-4.38%
2008-12-11,1154.43,1145.06,1166.27,1135.5,576.70M,0.75%
2008-12-10,1145.87,1112.44,1155.08,1105.71,562.09M,3.62%
2008-12-09,1105.84,1116.09,1120.66,1092.49,486.46M,0.07%
2008-12-08,1105.05,1041.41,1111.27,1037.64,541.79M,7.48%
2008-12-05,1028.13,1017.48,1032.68,1008.3,401.60M,2.14%
2008-12-04,1006.54,1042.16,1042.16,997,402.24M,-1.58%
2008-12-03,1022.67,1038.41,1038.41,1013.56,478.72M,-0.05%
2008-12-02,1023.2,1007.71,1038.41,1007.26,421.11M,-3.35%
2008-12-01,1058.62,1074,1083.01,1058.62,627.34M,-1.62%
2008-11-28,1076.07,1066.84,1084.03,1061.52,555.25M,1.18%
2008-11-27,1063.48,1058.63,1070.67,1046.46,563.63M,3.27%
2008-11-26,1029.78,993.07,1030.7,993.07,515.47M,4.72%
2008-11-25,983.32,1016.09,1029.46,966.28,486.15M,1.36%
2008-11-24,970.14,996.23,1014.49,969.49,464.19M,-3.35%
2008-11-21,1003.73,929.74,1013.12,914.02,602.11M,5.80%
2008-11-20,948.69,967.46,984.51,947.44,424.07M,-6.70%
2008-11-19,1016.82,1038.74,1038.74,994.57,404.61M,-1.87%
2008-11-18,1036.16,1053.29,1075.68,1036.1,377.42M,-3.91%
2008-11-17,1078.32,1074.33,1104.66,1050.4,413.38M,-0.91%
2008-11-14,1088.26,1126.94,1129.4,1078.44,440.49M,-0.02%
2008-11-13,1088.44,1074.75,1088.46,1040.34,566.76M,-3.15%
2008-11-12,1123.86,1103.88,1143.18,1096.63,605.66M,-0.43%
2008-11-11,1128.73,1133.34,1160.3,1114.5,600.73M,-2.06%
2008-11-10,1152.46,1152.26,1165.57,1124.13,717.48M,1.58%
2008-11-07,1134.49,1054.35,1134.5,1038.72,846.31M,3.87%
2008-11-06,1092.22,1133.78,1140.85,1081.79,657.63M,-7.56%
2008-11-05,1181.5,1184.92,1217.82,1159.67,790.19M,2.44%
2008-11-04,1153.35,1135.53,1154.45,1114.41,603.57M,2.15%
2008-11-03,1129.08,1117.13,1158.87,1109.32,568.25M,1.44%
2008-10-31,1113.06,1083.14,1158.66,1061.46,864.75M,2.61%
2008-10-30,1084.72,1036.83,1094.89,992.89,621.63M,11.95%
2008-10-29,968.97,1047.48,1078.33,920.35,763.40M,-3.02%
2008-10-28,999.16,916.85,1012.73,901.49,649.43M,5.57%
2008-10-27,946.45,937.18,966.41,892.16,540.71M,0.82%
2008-10-24,938.75,1051.58,1051.92,925.57,443.16M,-10.57%
2008-10-23,1049.71,1089.57,1089.57,1028.5,401.51M,-7.48%
2008-10-22,1134.59,1190.5,1195.28,1095.56,374.87M,-5.14%
2008-10-21,1196.1,1223.75,1232.73,1181.88,389.19M,-0.95%
2008-10-20,1207.63,1195.9,1211.09,1149.39,373.02M,2.28%
2008-10-17,1180.67,1245.15,1245.15,1166.88,420.18M,-2.73%
2008-10-16,1213.78,1258.38,1265.85,1205.14,409.09M,-9.44%
2008-10-15,1340.28,1338.46,1353.44,1327.42,347.68M,-2.00%
2008-10-14,1367.69,1342.31,1367.7,1339.86,460.91M,6.14%
2008-10-13,1288.53,1272.95,1294.19,1252.44,384.72M,3.79%
2008-10-10,1241.47,1248.53,1248.53,1178.51,461.33M,-4.13%
2008-10-09,1294.89,1289.67,1324.36,1274.46,451.81M,0.64%
2008-10-08,1286.69,1323.96,1334.34,1281.47,431.46M,-5.81%
2008-10-07,1366.1,1340.92,1371.24,1321.81,349.57M,0.54%
2008-10-06,1358.75,1389.68,1389.68,1351.72,312.41M,-4.29%
2008-10-02,1419.65,1450.16,1458.68,1410.35,317.94M,-1.39%
2008-10-01,1439.67,1453.4,1453.4,1429.57,314.22M,-0.58%
2008-09-30,1448.06,1383.97,1448.06,1376.72,412.81M,-0.57%
2008-09-29,1456.36,1491.11,1496.3,1449.33,365.88M,-1.35%
2008-09-26,1476.33,1492.42,1498.74,1469.83,405.92M,-1.68%
2008-09-25,1501.63,1487.73,1503.83,1469.23,419.07M,0.38%
2008-09-24,1495.98,1479.04,1501.09,1472.31,498.53M,0.99%
2008-09-23,1481.37,1447.9,1484.01,1445.5,470.35M,1.44%
2008-09-22,1460.34,1472.08,1488.94,1457.1,354.33M,0.31%
2008-09-19,1455.78,1441.31,1464.59,1435.72,468.69M,4.55%
2008-09-18,1392.42,1385.47,1400.35,1366.88,413.39M,-2.30%
2008-09-17,1425.26,1420.49,1441.24,1412.6,398.28M,2.70%
2008-09-16,1387.75,1381.24,1401.79,1372.55,392.77M,-6.10%
2008-09-12,1477.92,1468.41,1480.77,1463.58,311.74M,2.40%
2008-09-11,1443.24,1459.69,1467.9,1439.38,363.00M,-1.48%
2008-09-10,1464.98,1432.9,1466.26,1430.05,421.19M,0.72%
2008-09-09,1454.5,1469.54,1469.54,1446.53,443.71M,-1.50%
2008-09-08,1476.65,1437.59,1481.41,1437.59,399.13M,5.15%
2008-09-05,1404.38,1394.39,1415.24,1393.33,298.48M,-1.55%
2008-09-04,1426.43,1421.16,1436.62,1409.33,372.86M,-0.03%
2008-09-03,1426.89,1403.89,1430.94,1396.13,367.10M,1.40%
2008-09-02,1407.14,1418.26,1430.43,1392.55,373.37M,-0.52%
2008-09-01,1414.43,1453.14,1456.69,1413.43,316.59M,-4.06%
2008-08-29,1474.24,1488.25,1496.14,1470.87,242.10M,0.01%
2008-08-28,1474.15,1503.26,1503.74,1473,216.13M,-1.32%
2008-08-27,1493.92,1498.09,1498.38,1466.46,241.56M,0.25%
2008-08-26,1490.25,1477.04,1502.33,1474.64,213.14M,-0.79%
2008-08-25,1502.11,1505.13,1510.98,1496.63,198.26M,0.35%
2008-08-22,1496.91,1508.67,1508.67,1477.55,226.29M,-1.04%
2008-08-21,1512.59,1539.55,1540.45,1511.69,259.52M,-1.83%
2008-08-20,1540.71,1531.87,1549.53,1524.87,243.67M,-0.05%
2008-08-19,1541.41,1554.21,1554.92,1528.31,261.10M,-1.68%
2008-08-18,1567.71,1579.13,1582.76,1561.57,260.76M,-0.28%
2008-08-14,1572.19,1553.65,1578.3,1553.65,247.61M,0.61%
2008-08-13,1562.72,1572.87,1581.46,1553.94,231.58M,-0.91%
2008-08-12,1577.12,1581.1,1590.12,1570.88,251.63M,-0.25%
2008-08-11,1581.09,1592.3,1597.31,1581.09,254.54M,0.79%
2008-08-08,1568.72,1547.7,1573.18,1544.1,221.29M,0.30%
2008-08-07,1564,1577.36,1582.51,1553.21,219.02M,-0.93%
2008-08-06,1578.71,1567.3,1580.25,1560.88,276.65M,2.81%
2008-08-05,1535.54,1540.32,1556.96,1533.43,244.78M,-0.49%
2008-08-04,1543.05,1567.01,1571.23,1531.52,246.52M,-1.95%
2008-08-01,1573.77,1578.55,1587.49,1562.29,231.18M,-1.31%
2008-07-31,1594.67,1583.99,1600.15,1577.81,233.01M,1.08%
2008-07-30,1577.7,1594.04,1595.84,1572.17,265.70M,0.67%
2008-07-29,1567.2,1572.16,1573.62,1542.89,261.58M,-1.95%
2008-07-28,1598.29,1609.57,1611.15,1588.56,252.28M,0.02%
2008-07-25,1597.93,1595.28,1610.45,1589.48,266.62M,-1.73%
2008-07-24,1626.14,1603.52,1627.87,1603.24,347.69M,2.16%
2008-07-23,1591.76,1586.27,1598.89,1577.94,351.64M,1.96%
2008-07-22,1561.23,1551.09,1563.75,1549,252.50M,-0.11%
2008-07-21,1562.92,1530.68,1569.45,1530.05,296.05M,3.51%
2008-07-18,1509.99,1542.73,1542.91,1504,304.14M,-1.02%
2008-07-17,1525.56,1541.38,1546.84,1524.85,319.70M,1.20%
2008-07-16,1507.4,1518.57,1529.87,1488.75,296.91M,-0.13%
2008-07-15,1509.33,1550.95,1550.95,1506.41,297.85M,-3.16%
2008-07-14,1558.62,1562.88,1581.7,1554.01,257.13M,-0.57%
2008-07-11,1567.51,1543.01,1573.06,1526.67,326.55M,1.96%
2008-07-10,1537.43,1498.78,1542.34,1495.44,354.19M,1.19%
2008-07-09,1519.38,1557.07,1563.07,1519.05,328.76M,-0.92%
2008-07-08,1533.47,1577.04,1577.04,1509.2,332.01M,-2.93%
2008-07-07,1579.72,1568.25,1583.49,1560,250.03M,0.11%
2008-07-04,1577.94,1604.47,1610.65,1574.6,246.97M,-1.78%
2008-07-03,1606.54,1591.21,1616.65,1580.83,352.00M,-1.05%
2008-07-02,1623.6,1665.52,1667.97,1607.88,335.99M,-2.57%
2008-07-01,1666.46,1675.7,1681.45,1652.03,278.02M,-0.51%
2008-06-30,1674.92,1682.86,1689.61,1671.11,261.91M,-0.57%
2008-06-27,1684.45,1673.27,1685.88,1669.69,285.31M,-1.93%
2008-06-26,1717.66,1717.57,1734.86,1714.38,328.76M,-0.01%
2008-06-25,1717.79,1710.45,1717.81,1695.01,345.35M,0.41%
2008-06-24,1710.84,1706.92,1717.23,1699.81,364.19M,-0.28%
2008-06-23,1715.59,1705.61,1720.74,1694.79,303.20M,-0.89%
2008-06-20,1731,1752.95,1755.6,1723.41,331.02M,-0.56%
2008-06-19,1740.72,1756.36,1757.26,1731.51,401.51M,-1.88%
2008-06-18,1774.13,1745.5,1775.11,1742.68,343.04M,1.34%
2008-06-17,1750.71,1766.34,1767.5,1738.71,334.94M,-0.57%
2008-06-16,1760.82,1763.86,1768.63,1755.55,375.41M,0.77%
2008-06-13,1747.35,1753.67,1760.72,1730.25,402.04M,0.46%
2008-06-12,1739.36,1755.9,1761.29,1739.36,379.81M,-2.37%
2008-06-11,1781.67,1781.14,1786.98,1760.66,282.78M,0.41%
2008-06-10,1774.38,1813.36,1814.06,1765.35,322.80M,-1.91%
2008-06-09,1808.96,1787.9,1810.21,1785.16,249.28M,-1.27%
2008-06-05,1832.31,1830.14,1832.82,1816.35,274.96M,-0.08%
2008-06-04,1833.81,1821.3,1836.13,1813.12,235.89M,0.79%
2008-06-03,1819.39,1832.31,1836.71,1814.5,258.92M,-1.52%
2008-06-02,1847.53,1848.3,1853.5,1831.66,234.49M,-0.24%
2008-05-30,1852.02,1846.98,1852.36,1833.42,287.61M,0.59%
2008-05-29,1841.22,1819.33,1842.56,1819.33,298.97M,1.97%
2008-05-28,1805.64,1835.38,1835.71,1802.01,299.61M,-1.07%
2008-05-27,1825.23,1806.2,1825.48,1806.2,260.27M,1.37%
2008-05-26,1800.58,1813.63,1820.74,1791.4,281.85M,-1.50%
2008-05-23,1827.94,1836.42,1840.78,1826.16,299.06M,-0.41%
2008-05-22,1835.42,1826.06,1836.63,1810.68,357.26M,-0.65%
2008-05-21,1847.51,1848.97,1861.58,1844.95,315.98M,-1.37%
2008-05-20,1873.15,1886.52,1889.85,1857.05,336.31M,-0.65%
2008-05-19,1885.37,1893.54,1901.13,1875.05,356.00M,-0.19%
2008-05-16,1888.88,1893.99,1899.57,1882.69,301.67M,0.17%
2008-05-15,1885.71,1852.74,1886.95,1852.67,414.80M,2.28%
2008-05-14,1843.75,1841.44,1848.02,1828.07,297.69M,0.05%
2008-05-13,1842.8,1829.37,1842.8,1813.98,265.30M,1.05%
2008-05-09,1823.7,1854.73,1854.73,1818.27,280.07M,-1.31%
2008-05-08,1848,1831.17,1854.55,1830.46,319.21M,-0.32%
2008-05-07,1854.01,1863.77,1868.09,1839.76,384.07M,-0.27%
2008-05-06,1859.06,1849.81,1859.27,1843.36,303.69M,0.58%
2008-05-02,1848.27,1851.64,1851.64,1843.14,267.83M,1.25%
2008-04-30,1825.47,1808.74,1825.58,1803.49,244.97M,0.77%
2008-04-29,1811.51,1829.01,1831.23,1803.08,272.36M,-0.64%
2008-04-28,1823.17,1829.45,1831.84,1814.2,371.63M,-0.08%
2008-04-25,1824.68,1809,1825.83,1809,328.04M,1.41%
2008-04-24,1799.34,1808.88,1812.62,1794.64,497.25M,-0.08%
